Title: LIGO Blocks
Date:  2025-05-27
Source: LIGO Blocks.pdf
ligo_event_id          time                hash
GW191105_143521-v1    2019-11-05 9:52:11   00000000000000000004bbdf042004b0c953fc3689d0dc0cd6a9d8a92d6ec912
GW191109_010717-v1   2019-11-08 20:13:43   00000000000000000012228083f455fc05fede670e643deb678fae56fffedcb2
GW191113_071753-v1    2019-11-13 2:22:50   00000000000000000007e18f389f4ed25762de2d5377b256cb71d86d764809bd
GW191126_115259-v1    2019-11-26 6:57:59   0000000000000000000fd9a05378fba5511fd6ccdc791b345cabe4ed50be3061
GW191127_050227-v1    2019-11-27 0:05:56   00000000000000000011426abb76ef0453b338b7a94b72310ea357f2991bb509
GW191129_134029-v1    2019-11-29 9:15:16   00000000000000000012cea98e02a2e06680153e3bbe5bbed3861ed0f5a06e83
GW191204_110529-v1    2019-12-04 6:09:53   0000000000000000000b1abf031af1fa2eb1f7fb1cbf7cd6f35f40706c4aa545
GW191204_171526-v1   2019-12-04 12:26:35   0000000000000000000304f6934d71c435d5bb84eb652fe4d0fc94d16c0810d5
GW191215_223052-v1   2019-12-15 18:09:13   0000000000000000001135c02dd5f861e16c0af832b04575d55dbfca08081748
GW191216_213338-v1   2019-12-16 16:37:03   0000000000000000000db3b5dc134ab7416d243b6e753f2a7ed26ac02f015ab4
GW191219_163120-v1   2019-12-19 11:44:37   0000000000000000000dbbb8876454539887f38fdd96f32b39b6f66320476d46
GW191222_033537-v1   2019-12-21 22:54:23   00000000000000000009458d70f643cdb03b9e9abcb36352e958ed44c12416a7
GW191230_180458-v1   2019-12-30 13:09:31   000000000000000000148b64167dcfaa5608483283b6dbcbd3192022bbae8d14
GW200112_155838-v1   2020-01-12 11:02:28   00000000000000000004703279fb33f463a917b61ab1ff2aca2f474f9b66a847
GW200115_042309-v2   2020-01-14 23:40:01   00000000000000000003b7749bfd517d2672c6eace8c880794d47dc9040238ba
GW200128_022011-v1   2020-01-27 21:30:19   00000000000000000005c5b1380965a0425a792cac5ae89de7ed7be73c1f8c29
GW200129_065458-v1    2020-01-29 2:05:23   0000000000000000000818a16e037777dc496f1cc001bd0fd415eb4edb7d001e
GW200202_154313-v1   2020-02-02 11:00:27   0000000000000000000527373b8ee963cf8bd33b2ab880570fbd9447b7a66ceb
GW200208_130117-v1    2020-02-08 8:11:47   00000000000000000005edbce4dcd0daac7d294b900327ad3d2e6fae5b414707
GW200208_222617-v1   2020-02-08 17:36:01   000000000000000000049bb63d2e66d48da3efe9460e68305ee89ac9ac8b9aca
GW200209_085452-v1    2020-02-09 4:10:06   0000000000000000000f0688e7bb3e850920214da120fa04e87b4cab90c776b5
GW200210_092254-v1    2020-02-10 4:25:53   00000000000000000004f3b2c922f248dca895b757c824e818d3440217aa127f
GW200216_220804-v1   2020-02-16 17:15:06   00000000000000000003be3c380773431330df02a209e2e7b6a7ab62f4db6210
GW200219_094415-v1    2020-02-19 4:47:24   0000000000000000000fc115d4940df1e17dcacb9e9e86e5dd87900d2de517e7
GW200220_061928-v1    2020-02-20 1:20:08   0000000000000000000a247c23806e6739b1d008cdd62bab60e69ac51a960378
GW200220_124850-v1    2020-02-20 7:54:04   0000000000000000000b68cd7986bc5894162670ae274d8af9c9e2b4ae61d0f8
GW200224_222234-v1   2020-02-24 17:22:57   0000000000000000000b41f623a8e245de9e57b296f81a533f5ea8e61363984d
GW200225_060421-v1    2020-02-25 1:12:28   0000000000000000000ab6be39715acc3ad84b44c41ed55cdf442bf28288fa2a
GW200302_015811-v1   2020-03-01 21:05:00   0000000000000000000747d92a795b68780c34bf175ef0ab879a3767d72aa940
GW200306_093714-v1    2020-03-06 4:48:38   0000000000000000000eb4aeea29a30cb4fb36a7c0ad051f5652726d292e78f9
GW200308_173609-v1   2020-03-08 13:43:15   0000000000000000000ba29b35f189f8402aa1a3efa1fbafce19573f578229a8
GW200311_115853-v1    2020-03-11 8:09:00   00000000000000000004aa693d01eb98d2756f981912525fc9da80c96b6a3153
GW200316_215756-v1   2020-03-16 18:15:10   00000000000000000009d6c99e322a7283538a7a2f6dc3ea2086ddb225264df8
GW200322_091133-v1    2020-03-22 5:21:23   0000000000000000000152f345ef327185fff33a63dd63ed949869a42269f7bf
